,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Attribute,Data type,"Mobile Platforms -
IOS
Android
Android TV
Fire TV
Apple TV","Web Platforms -
Web
Tizen
LG 
Web OS",Description,Sample Values,APP_START,APP_FOREGROUND,APP_BACKGROUND,SIGN_UP,LOGIN_INITIATED,LOGIN,LOGOUT,TNC,CONSENT,SEARCH,VIEW_PLANS,SUBSCRIPTION_INITIATED,PAYMENT_INITIATED,PURCHASE_SUBSCRIPTION,PURCHASE_SUBSCRIPTION_CANCEL,PURCHASE_SUBSCRIPTION_FAILURE,CREATE_PROFILE,UPDATE_PROFILE,DELETE_PROFILE,FORGOT_PASSWORD,LINK_DEVICE,REMOVE_DEVICE,VIEW_CONTENT_DETAILS,RENT_CONTENT,FAVORITE_CONTENT,TAB_CLICK,CONTAINER_CLICK,COLLECTION_CLICK,SEARCH_CLICK,EPG_ITEM_CLICK,WATCHLIST_ITEM_CLICK,STOREFRONT_TAB_CHANGE,MENU_TAB_CHANGE,VIEW_COLLECTION_DETAILS,PLAYBACK_START,PLAYBACK_PREPARED,PLAYBACK_STARTED,PLAYBACK_INPROGRESS,PLAYBACK_BUFFERING_START,PLAYBACK_BUFFERING_END,PLAYBACK_SEEK_START,PLAYBACK_SEEK_COMPLETE,PLAYBACK_PAUSED,PLAYBACK_RESUMED,PLAYBACK_STOPPED,PLAYBACK_COMPLETE,PLAYBACK_VARIANT_CHANGE,PLAYBACK_AUDIO_LANGUAGE_CHANGE,PLAYBACK_SUBTITLE_LANGUAGE_CHANGE,NETWORK_CHANGE,ERROR,SKIP_INTRO,SKIP_INTRO,NEXT_EPISODE,DOWNLOAD_START,DOWNLOAD_PREPARED,DOWNLOAD_STARTED,DOWNLOAD_INPROGRESS,DOWNLOAD_PAUSED,DOWNLOAD_RESUMED,DOWNLOAD_STOPPED,DOWNLOAD_COMPLETED,DOWNLOAD_DELETED,DOWNLOAD_LICENSE_RENEWED,AD_BREAK_START,AD_START,AD_END,AD_BREAK_COMPLETE,AD_SKIP,AD_VIEW,BANNER_AD_CLICK,LINK_TO_MOBILE,LINK_TO_EMAIL,VIEW_APP
,Key Event Identifiers,timestamp,Integer,Default,Default,Timestamp for the event collected,1602823543190,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,eventUUID,String,Custom,Custom,Unique identifer for every event logged,5D45AFCD-6BAE-4295-A4C4-FB00419A9CFE,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,platformName,String,Custom,Custom,Unique identifier for the platform that originated the event,"Enumerated:  iOS, Android, tvOS, Android TV, FireTV, Car Play, Android Auto, Chromecast, web, Tizen, Vizio, Roku",Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,trackingID,String,Custom,Custom,The trackingId is currently being sent by the backend with every request,3934a66c-6daf-4a18-a4fd-282fb5f2a30b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,eventName,String,Custom,Custom,"Name of event, consolidating actionName and name",PLAYBACK_START,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,actionName,String,NA,Custom,Name of event for web based implementations,PLAYBACK_START,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,name,String,Custom,NA,Name of event for app based implementations,PLAYBACK_START,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,Application,appName,String,Default,Custom,The name of the application,[App name] Prod - TVE,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,appVersion,Integer,Default,Custom,The version of the application,1.0.1 - Build version,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,appVersionId,Integer,Default,Custom,Unique identifier generated for each build or variant of the mobile application,673198239,O,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,thirdPartyAppName,String,Custom,Custom,Any app opened on the set top box,"Netflix, DisneyPlus, etc.,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
