Disable for Media?,,,,,,,,,,,,,,,,,,,,,,,,,Disable
,Category,Attribute,Data type,Web Platforms,Mobile Platforms,Roku,Description,Sample Values,APP_START,LOGIN,SEARCH,VIEW_CONTENT_DETAILS,PLAYBACK_START,PLAYBACK_INPROGRESS,PLAYBACK_PAUSED,PLAYBACK_COMPLETE,ERROR,LOGOUT,REGISTER,PROFILE_UPDATE,PLAYBACK_BUFFERING,CONTENT_SHARE,SUBSCRIPTION_START,APP_BACKGROUND,PLAYBACK_SEEK
,Key Event Identifiers,timestamp,Integer,Y,Y,Y,Timestamp for the event collected,1723372200000,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,eventUUID,String,Y,Y,Y,Unique identifier for every event logged,evt-001,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,platformName,String,Y,Y,Y,Platform that originated the event,web,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,appVersion,String,Y,Y,Y,Application version reported by the client,1.0.0,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,O,O,Y,O,O,Y,O
,Device,deviceModel,String,Y,Y,Y,Device model or browser family,Chrome Desktop,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,O,Y,O,O,Y,O
,Application Session,sessionId,String,Y,Y,N,Unique identifier for the user session,sess-001,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Playback,playbackSessionId,String,Y,Y,N,Unique identifier for playback session,pb-001,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y
,Playback,streamBitrate,String,Y,Y,N,Current stream bitrate in kbps,3200,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y
,Content,contentId,String,Y,Y,N,Unique identifier for content,content-001,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y
,,contentName,String,Y,Y,N,Display name of the content,Sample Movie,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y
,Search,searchQuery,String,Y,Y,N,Search term entered by the user,funny cats,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,Sharing,shareTarget,String,Y,Y,N,Target used when a viewer shares content,WhatsApp,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N
,Billing,subscriptionPlan,String,Y,Y,N,Subscription plan selected by user,Premium,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
,Error,errorCode,String,Y,Y,Y,Application or playback error code,E_TIMEOUT,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N
,,errorMessage,String,Y,Y,Y,Human-readable error message,Request timed out,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N
