,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Attribute,Data type,"Mobile Platforms -
IOS
Android
Android TV
Fire TV
Apple TV","Web Platforms -
Web
Tizen
LG 
Vizio
Xumo",Roku,Description,Sample Values,APP_START,APP_FOREGROUND,APP_BACKGROUND,SIGN_UP,LOGIN_INITIATED,LOGIN,LOGOUT,TNC,CONSENT,SEARCH,VIEW_PLANS,SUBSCRIPTION_INITIATED,PAYMENT_INITIATED,PURCHASE_SUBSCRIPTION,PURCHASE_SUBSCRIPTION_CANCEL,PURCHASE_SUBSCRIPTION_FAILURE,CREATE_PROFILE,UPDATE_PROFILE,DELETE_PROFILE,FORGOT_PASSWORD,LINK_DEVICE,REMOVE_DEVICE,VIEW_CONTENT_DETAILS,RENT_CONTENT,FAVORITE_CONTENT,TAB_CLICK,CONTAINER_CLICK,COLLECTION_CLICK,SEARCH_CLICK,EPG_ITEM_CLICK,WATCHLIST_ITEM_CLICK,STOREFRONT_TAB_CHANGE,MENU_TAB_CHANGE,VIEW_COLLECTION_DETAILS,PLAYBACK_START,PLAYBACK_PREPARED,PLAYBACK_STARTED,PLAYBACK_INPROGRESS,PLAYBACK_BUFFERING_START,PLAYBACK_BUFFERING_END,PLAYBACK_SEEK_START,PLAYBACK_SEEK_COMPLETE,PLAYBACK_PAUSED,PLAYBACK_RESUMED,PLAYBACK_STOPPED,PLAYBACK_COMPLETE,PLAYBACK_VARIANT_CHANGE,PLAYBACK_AUDIO_LANGUAGE_CHANGE,PLAYBACK_SUBTITLE_LANGUAGE_CHANGE,NETWORK_CHANGE,PLAYBACK_RECOVERY_STATUS,ERROR,SKIP_INTRO,SKIP_CREDITS,NEXT_EPISODE,DOWNLOAD_START,DOWNLOAD_PREPARED,DOWNLOAD_STARTED,DOWNLOAD_INPROGRESS,DOWNLOAD_PAUSED,DOWNLOAD_RESUMED,DOWNLOAD_STOPPED,DOWNLOAD_COMPLETED,DOWNLOAD_DELETED,DOWNLOAD_LICENSE_RENEWED,AD_BREAK_START,AD_START,AD_END,AD_BREAK_COMPLETE,AD_SKIP,AD_VIEW
,Key Event Identifiers,timestamp,Integer,Default,Default,Default,Timestamp for the event collected,1602823543190,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,eventUUID,String,Custom,Custom,Custom,Unique identifer for every event logged,5D45AFCD-6BAE-4295-A4C4-FB00419A9CFE,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,platformName,String,Custom,Custom,Custom,Unique identifier for the platform that originated the event,"Enumerated:  iOS, Android, tvOS, Android TV, FireTV, web, Tizen, Vizio, Roku, Xumo, LG",Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,platformVersion,String,Custom,NA,NA,Platform version,1.0.4,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,endpoint,String,Custom,Custom,,TVNZ specific attribute for identifying the platform,"Enumerated:  
ios
android
androidtv
chromecast
web
playstation
lg
panasonic
samsung
tvos
xbox
vidaa",Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,trackingID,String,Custom,Custom,,The trackingId is currently being sent by the backend with every request,3934a66c-6daf-4a18-a4fd-282fb5f2a30b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,eventName,String,Custom,Custom,,"Name of event, consolidating actionName and name",PLAYBACK_START,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,actionName,String,NA,Custom,Custom,Name of event for web based implementations,PLAYBACK_START,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,name,String,Custom,NA,NA,Name of event for app based implementations,PLAYBACK_START,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,Application,appName,String,Default,Custom,Custom,The name of the application,[App name] ,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,appVersion,String,Default,Custom,Custom,The version of the application,1.0.1 - Build version,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,appVersionId,Integer,Default,NA,Custom,Unique identifier generated for each build or variant of the mobile application,673198239,O,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,thirdPartyAppName,String,Custom,Custom,,Any app opened on the set top box,"Netflix, DisneyPlus, etc.,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,qpSdkVersion,String,Custom,Custom,Custom,qp SDK version used,1.0.4,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,appBuild,String,Default,Custom,Default,Application build,29,O,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,Application Session,sessionId,String,Default,NA,Custom,A unique identifier for a single user session. A new sessionId is created each time the app is brought into the foreground.  For app collected events only,88996F14-35E9-4D5E-8846-EED8E62FBF9E,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,session,String,NA,Default,NA,A unique identifier for a single session. The session cookie expires when the user closes the browser.  A new session identifier will be assigned when the user opens up a new instance of the browser.  For web / smart tv  based collected events,E346B701-EB16-427D-B152-80D9DB728956,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,timeSinceLoad,Integer,Default,NA,NA,The length of time for which the user used the application in seconds.,601.2639999,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,sessionDuration,Integer,Default,NA,NA,The length of time for which the user used the application in seconds.,601.2639999,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,sessionDurationSec,Integer,NA,NA,Custom,The length of time for which the user used the application in seconds.,601.2639999,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,Content,contentID,String,Custom,Custom,Custom,Unique identifier for content,73DF66D3-B2E8-4ADE-A353-EB9E73BC26B7,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,O,O,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,externalContentID,String,Custom,Custom,Custom,Unique identifier for content from external system (VOD),F48FD40E-B7D4-4B79-92E9-7A215AAC6CC8-1586846597643,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,O,NA,O,N,O,O,O,N,O,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
